country,year,population
Afghanistan,2022,41128.77
Albania,2022,2777.69
Algeria,2022,44903.22
American Samoa,2022,44.27
Andorra,2022,79.82
Angola,2022,35588.99
Antigua and Barbuda,2022,93.76
Argentina,2022,46234.83
Armenia,2022,2780.47
Aruba,2022,106.44
Australia,2022,26005.54
Austria,2022,9041.85
Azerbaijan,2022,10141.76
"Bahamas, The",2022,409.98
Bahrain,2022,1472.23
Bangladesh,2022,171186.37
Barbados,2022,281.63
Belarus,2022,9228.07
Belgium,2022,11685.81
Belize,2022,405.27
Benin,2022,13352.86
Bermuda,2022,63.53
Bhutan,2022,782.46
Bolivia,2022,12224.11
Bosnia and Herzegovina,2022,3233.53
Botswana,2022,2630.3
Brazil,2022,215313.5
British Virgin Islands,2022,31.3
Brunei,2022,449
Bulgaria,2022,6465.1
Burkina Faso,2022,22673.76
Burundi,2022,12889.58
Cabo Verde,2022,593.15
Cambodia,2022,16767.84
Cameroon,2022,27914.54
Canada,2022,38929.9
Cayman Islands,2022,68.71
Central African Republic,2022,5579.14
Chad,2022,17723.31
Channel Islands,2022,174.08
Chile,2022,19603.73
China,2022,1412175
Colombia,2022,51874.02
Comoros,2022,836.77
"Congo, Dem. Rep.",2022,99010.21
"Congo, Rep.",2022,5970.42
Costa Rica,2022,5180.83
Cote d'Ivoire,2022,28160.54
Croatia,2022,3855.6
Cuba,2022,11212.19
Curacao,2022,150
Cyprus,2022,1251.49
Czechia,2022,10672.12
Denmark,2022,5903.04
Djibouti,2022,1120.85
Dominica,2022,72.74
Dominican Republic,2022,11228.82
Ecuador,2022,18001
Egypt,2022,110990.1
El Salvador,2022,6336.39
Equatorial Guinea,2022,1674.91
Eritrea,2022,3684.03
Estonia,2022,1348.84
Eswatini,2022,1201.67
Ethiopia,2022,123379.92
Faroe Islands,2022,53.09
Fiji,2022,929.77
Finland,2022,5556.11
France,2022,67971.31
French Polynesia,2022,306.28
Gabon,2022,2388.99
"Gambia, The",2022,2705.99
Georgia,2022,3712.5
Germany,2022,83797.99
Ghana,2022,33475.87
Gibraltar,2022,32.65
Greece,2022,10426.92
Greenland,2022,56.66
Grenada,2022,125.44
Guam,2022,171.77
Guatemala,2022,17357.89
Guinea,2022,13859.34
Guinea-Bissau,2022,2105.57
Guyana,2022,808.73
Haiti,2022,11585
Honduras,2022,10432.86
"Hong Kong SAR, China",2022,7346.1
Hungary,2022,9643.05
Iceland,2022,382
India,2022,1417173.17
Indonesia,2022,275501.34
Iran,2022,88550.57
Iraq,2022,44496.12
Ireland,2022,5127.17
Isle of Man,2022,84.52
Israel,2022,9557.5
Italy,2022,58940.43
Jamaica,2022,2827.38
Japan,2022,125124.99
Jordan,2022,11285.87
Kazakhstan,2022,19621.97
Kenya,2022,54027.49
Kiribati,2022,131.23
"Korea, Dem. People's Rep.",2022,26069.42
"Korea, Rep.",2022,51628.12
Kosovo,2022,1761.98
Kuwait,2022,4268.87
Kyrgyz Republic,2022,6974.9
Laos,2022,7529.48
Latvia,2022,1879.38
Lebanon,2022,5489.74
Lesotho,2022,2305.82
Liberia,2022,5302.68
Libya,2022,6812.34
Liechtenstein,2022,39.33
Lithuania,2022,2831.64
Luxembourg,2022,653.1
Macao,2022,695.17
Madagascar,2022,29611.71
Malawi,2022,20405.32
Malaysia,2022,33938.22
Maldives,2022,523.79
Mali,2022,22593.59
Malta,2022,531.11
Marshall Islands,2022,41.57
Mauritania,2022,4736.14
Mauritius,2022,1262.52
Mexico,2022,127504.13
Micronesia,2022,114.16
Moldova,2022,2538.89
Monaco,2022,36.47
Mongolia,2022,3398.37
Montenegro,2022,617.21
Morocco,2022,37457.97
Mozambique,2022,32969.52
Myanmar,2022,54179.31
Namibia,2022,2567.01
Nauru,2022,12.67
Nepal,2022,30547.58
Netherlands,2022,17700.98
New Caledonia,2022,269.22
New Zealand,2022,5124.1
Nicaragua,2022,6948.39
Niger,2022,26207.98
Nigeria,2022,218541.21
North Macedonia,2022,2057.68
Northern Mariana Islands,2022,49.55
Norway,2022,5457.13
Oman,2022,4576.3
Pakistan,2022,235824.86
Palestine,2022,5043.61
Palau,2022,18.05
Panama,2022,4408.58
Papua New Guinea,2022,10142.62
Paraguay,2022,6780.74
Peru,2022,34049.59
Philippines,2022,115559.01
Poland,2022,36821.75
Portugal,2022,10409.7
Puerto Rico,2022,3221.79
Qatar,2022,2695.12
Romania,2022,19047.01
Russia,2022,144236.93
Rwanda,2022,13776.7
Samoa,2022,222.38
San Marino,2022,33.66
Sao Tome and Principe,2022,227.38
Saudi Arabia,2022,36408.82
Senegal,2022,17316.45
Serbia,2022,6664.45
Seychelles,2022,119.88
Sierra Leone,2022,8605.72
Singapore,2022,5637.02
Sint Maarten (Dutch part),2022,42.85
Slovak Republic,2022,5431.75
Slovenia,2022,2111.99
Solomon Islands,2022,724.27
Somalia,2022,17597.51
South Africa,2022,59893.89
South Sudan,2022,10913.16
Spain,2022,47778.34
Sri Lanka,2022,22181
St. Kitts and Nevis,2022,47.66
St. Lucia,2022,179.86
St. Martin (French part),2022,31.79
St. Vincent and the Grenadines,2022,103.95
Sudan,2022,46874.2
Suriname,2022,618.04
Sweden,2022,10486.94
Switzerland,2022,8775.76
Syria,2022,22125.25
Tajikistan,2022,9952.79
Tanzania,2022,65497.75
Thailand,2022,71697.03
Timor-Leste,2022,1341.3
Togo,2022,8848.7
Tonga,2022,106.86
Trinidad and Tobago,2022,1531.04
Tunisia,2022,12356.12
Turkiye,2022,84979.91
Turkmenistan,2022,6430.77
Turks and Caicos Islands,2022,45.7
Tuvalu,2022,11.31
Uganda,2022,47249.58
Ukraine,2022,38000
United Arab Emirates,2022,9441.13
United Kingdom,2022,66971.4
United States,2022,333287.56
Uruguay,2022,3422.79
Uzbekistan,2022,35648.1
Vanuatu,2022,326.74
Venezuela,2022,28301.7
Vietnam,2022,98186.86
Virgin Islands (U.S.),2022,105.41
Yemen,2022,33696.61
Zambia,2022,20017.67
Zimbabwe,2022,16320.54
